,Resolution,pert,pressure,T,tk,q,qcloud,qice,qsnow,qrain,qgraup,rh,Model,pert_group,neg
7184,500 m,T 0.5 @500,165.55930122105292,0.747749737743959,0.4428826980837357,0.2593401319898,2.283960245570865e-08,-0.4590606889387,3.0209433633037,-1.7094468593454383e-15,0.49917639036039996,-0.4985472622431075,MONC,T 0.5 @500,False
7267,500 m,T 0.5 @850,165.55930122105292,0.6318850847177373,0.374257531728432,0.2148193138974,1.29486048951324e-08,-0.5079854886778999,1.3570050408771999,-1.7271361529322822e-15,0.3789717454413,-0.4617705665412188,MONC,T 0.5 @850,False
7350,500 m,q 0.0002 @500,165.55930122105292,1.1452482744801955,0.6783160463658646,0.4212474062462,1.2881380864558468e-08,-0.5363919367459,4.3744149304453,-1.7158682568967868e-15,0.799501795665,-0.5606851597094789,MONC,q 0.0002 @500,False
7433,500 m,q 0.0002 @850,165.55930122105292,0.8971574534854198,0.5313749956026754,0.3300763088289,2.1484123293146984e-08,-0.4422787181606,2.4544471749327,-1.6842905607795509e-15,0.5644884382974,-0.4037975093902943,MONC,q 0.0002 @850,False
7931,250 m,T 0.5 @412,165.55930122105292,0.5055357433479912,0.2994224172745987,0.14265510658160002,2.681037707599909e-09,-0.1935454726115,2.2253071198773,-7.169929053634135e-12,-0.13966598735139998,-0.328235092102652,MONC,T 0.5 @412,False
8014,250 m,T 0.5 @500,165.55930122105292,0.6706410430557525,0.397212194938902,0.2073429836509,-2.6045311867845815e-09,-0.1754006414468,2.3695303543211,-4.108958919069004e-15,0.3580754200993,-0.1589255518328656,MONC,T 0.5 @500,False
8097,250 m,T 0.5 @600,165.55930122105292,0.553158083633491,0.327628526203938,0.17448132106560002,3.822376274395012e-09,-0.1406103496337,1.4930154219924001,1.032909660275613e-13,-0.003519662246233117,-0.0676813471347088,MONC,T 0.5 @600,False
8180,250 m,T 0.5 @730,165.55930122105292,0.6315534474813944,0.3740611071942225,0.1831024731823,-3.786028992210511e-09,-0.2564770262502,1.0319241602323,-4.10894621082326e-15,-0.1067060703328,-0.3190691041094453,MONC,T 0.5 @730,False
8263,250 m,T 0.5 @850,165.55930122105292,0.9408551897244024,0.5572566112673769,0.29912689306749995,2.6993060370141526e-09,-0.06467930696767415,1.1538883203847998,4.0153639660455037e-13,0.5749162149697,-0.0767589635421046,MONC,T 0.5 @850,False
8346,250 m,q 0.0002 @500,165.55930122105292,0.9344846645124676,0.5534834298783835,0.27939434442149996,4.670893720839579e-09,-0.3045131529474,4.1682484481818,-7.169682884850289e-12,0.17760607137360002,-0.4444995901435717,MONC,q 0.0002 @500,False
8429,250 m,q 0.0002 @850,165.55930122105292,0.789257716810539,0.4674673483124252,0.23709153702969998,4.83706543019728e-07,-0.2499669978267,2.3294644256742,-7.1699292411529704e-12,0.1530430695875,-0.343735495378965,MONC,q 0.0002 @850,False
5939,1 km,T 0.5 @412,165.55930122105292,0.7088393849937801,0.4240896456397536,0.3959298335583,-3.191420377586544e-13,-0.02716964912834256,1.2979644590447,-3.613893084004509e-54,-0.038110188135150734,-0.259684241204205,MONC,T 0.5 @412,False
6022,1 km,T 0.5 @500,165.55930122105292,0.7716998812339853,0.4616982861013241,0.4500032615881,-2.9388421608764864e-13,0.015547854710104538,1.5867037742947,2.598188400554485e-52,0.2119706557265,-0.3360060408823102,MONC,T 0.5 @500,False
6105,1 km,T 0.5 @600,165.55930122105292,0.636511892697456,0.3808170210827768,0.4294618722077,4.778274849953847e-09,0.12478727184720001,1.4801580661534,1.0740829210569135e-19,0.29456033140800003,0.1319187242869119,MONC,T 0.5 @600,False
6188,1 km,T 0.5 @730,165.55930122105292,0.7203861159300117,0.4309979088298234,0.3869378926037,-2.676809127053928e-13,-0.0557970447138737,1.3875838900047002,5.063501702266365e-39,0.2968469131241,-0.5358984761287786,MONC,T 0.5 @730,False
6271,1 km,T 0.5 @850,165.55930122105292,0.8673120838677733,0.5189018585780047,0.5210682145298,-3.010811729458536e-13,-0.07964686908051086,1.5923068914565,1.1359756268696552e-48,0.6206679063510999,-0.2898380037810923,MONC,T 0.5 @850,False
